,CaseID,Address,Street,Neighborhood,Point,point_geom
10164,16993292,"9 APPLETON AVE, SAN FRANCISCO, CA, 94110",APPLETON AVE,Holly Park,"(37.73880672, -122.42384436)",POINT (-122.423844364 37.738806721)
10165,16983384,"434 MAIN ST, SAN FRANCISCO, CA, 94105",MAIN ST,Rincon Hill,"(37.7875427, -122.3895324)",POINT (-122.3895324 37.7875427)
10166,16987712,"445 LEAVENWORTH ST, SAN FRANCISCO, CA, 94102",LEAVENWORTH ST,Tenderloin,"(37.78514425, -122.41471606)",POINT (-122.414716061 37.785144247)
10168,16991600,"83 EDDY ST, SAN FRANCISCO, CA, 94102",EDDY ST,Downtown / Union Square,"(37.78425946, -122.40891125)",POINT (-122.408911251 37.784259461)
10169,16987843,Intersection of GEARY BLVD and PRESIDIO AVE,GEARY BLVD,Anza Vista,"(37.78247947, -122.44602564)",POINT (-122.446025645 37.782479471)
10170,16994353,"2670 GEARY BLVD, SAN FRANCISCO, CA, 94118",GEARY BLVD,Laurel Heights / Jordan Park,"(37.78278333, -122.44731167)",POINT (-122.447311667 37.782783333)
10172,16987886,"1801 LOMBARD ST, SAN FRANCISCO, CA, 94123",LOMBARD ST,Union Street,"(37.8004332, -122.4311284)",POINT (-122.4311284 37.8004332)
10174,16987140,"60 RAUSCH ST, SAN FRANCISCO, CA, 94103",RAUSCH ST,South of Market,"(37.77609618, -122.4094827)",POINT (-122.409482697 37.776096184)
10175,16997335,Intersection of STOCKTON ST and UNION ST,STOCKTON ST,North Beach,"(37.8004505, -122.4092074)",POINT (-122.4092074 37.8004505)
10176,16981635,"298 11TH ST, SAN FRANCISCO, CA, 94103",11TH ST,South of Market,"(37.77183792, -122.41430074)",POINT (-122.414300744 37.771837915)
10177,16997585,"2838 MISSION ST, SAN FRANCISCO, CA, 94110",MISSION ST,Mission,"(37.75161059, -122.41899569)",POINT (-122.418995686 37.751610587)
10179,16994230,"120 WILLOW ST, SAN FRANCISCO, CA, 94109",WILLOW ST,Tenderloin,"(37.78353271, -122.4198668)",POINT (-122.419866801 37.783532714)
10180,16982706,"2012 GREENWICH ST, SAN FRANCISCO, CA, 94123",GREENWICH ST,Union Street,"(37.7995053, -122.4328269)",POINT (-122.4328269 37.7995053)
10181,16983349,"434 MAIN ST, SAN FRANCISCO, CA, 94105",MAIN ST,Rincon Hill,"(37.7875427, -122.3895324)",POINT (-122.3895324 37.7875427)
10182,16993420,"598 10TH ST, SAN FRANCISCO, CA, 94103",10TH ST,Mission,"(37.76906755, -122.40829568)",POINT (-122.408295678 37.769067547)
10183,16984877,Intersection of WILLOW ST and POLK ST,WILLOW ST,Tenderloin,"(37.78357748, -122.41933268)",POINT (-122.419332679 37.783577476)
10184,16986787,"2630 GEARY BLVD, SAN FRANCISCO, CA, 94115",GEARY BLVD,Laurel Heights / Jordan Park,"(37.78279478, -122.44669582)",POINT (-122.446695817 37.782794779)
10185,16983399,"434 MAIN ST, SAN FRANCISCO, CA, 94105",MAIN ST,Rincon Hill,"(37.7875427, -122.3895324)",POINT (-122.3895324 37.7875427)
10186,16984012,"80 HEMLOCK ST, SAN FRANCISCO, CA, 94109",HEMLOCK ST,Lower Nob Hill,"(37.78734755, -122.41929242)",POINT (-122.419292422 37.787347548)
10188,16995497,"2390 MARKET ST, SAN FRANCISCO, CA, 94114",MARKET ST,Duboce Triangle,"(37.76301929, -122.43489441)",POINT (-122.434894407 37.763019295)
10189,16995054,"2700 SAN BRUNO AVE, SAN FRANCISCO, CA, 94134",SAN BRUNO AVE,Portola,"(37.7274702, -122.4037867)",POINT (-122.4037867 37.7274702)
10190,16993072,"155 RUSS ST, SAN FRANCISCO, CA, 94103",RUSS ST,South of Market,"(37.7783299, -122.407177)",POINT (-122.407177 37.7783299)
10192,16981072,"1156 VAN NESS AVE, SAN FRANCISCO, CA, 94109",VAN NESS AVE,Lower Nob Hill,"(37.78634427, -122.42153305)",POINT (-122.421533052 37.786344272)
10193,16997356,"1070 OAK ST, SAN FRANCISCO, CA, 94117",OAK ST,Lower Haight,"(37.77329928, -122.43709479)",POINT (-122.437094791 37.773299276)
10195,16983248,"434 MAIN ST, SAN FRANCISCO, CA, 94105",MAIN ST,Rincon Hill,"(37.7875427, -122.3895324)",POINT (-122.3895324 37.7875427)
10196,16982956,Intersection of DAVENPORT LN and TRUMBULL ST,DAVENPORT LN,Mission Terrace,"(37.7309243, -122.4239685)",POINT (-122.423968501 37.730924301)
10197,16996024,Intersection of STILLMAN ST and 4TH ST,STILLMAN ST,South of Market,"(37.77990706, -122.39859676)",POINT (-122.398596757 37.779907064)
10199,16996316,"2825 CESAR CHAVEZ ST, SAN FRANCISCO, CA, 94124 (Virtual)",CESAR CHAVEZ ST,Peralta Heights,"(37.74876342, -122.40619875)",POINT (-122.406198748 37.748763424)
10200,16991937,"625 HYDE ST, SAN FRANCISCO, CA, 94109",HYDE ST,Lower Nob Hill,"(37.786725, -122.4167971)",POINT (-122.4167971 37.786725)
10201,16998642,"5617 GEARY BLVD, SAN FRANCISCO, CA, 94121",GEARY BLVD,Outer Richmond,"(37.7800197, -122.4798271)",POINT (-122.4798271 37.7800197)
10202,16999507,"35 12TH ST, SAN FRANCISCO, CA, 94103",12TH ST,South of Market,"(37.77398236, -122.41971621)",POINT (-122.419716206 37.773982356)
10204,16991406,Intersection of 25TH ST and MISSION ST,25TH ST,Mission,"(37.7506482, -122.4183159)",POINT (-122.4183159 37.7506482)
10207,16988550,Intersection of SAN BRUNO AVE and DIVISION ST,SAN BRUNO AVE,Showplace Square,"(37.7697369, -122.40586178)",POINT (-122.405861783 37.769736896)
10208,16990154,"1090 CAPP ST, SAN FRANCISCO, CA, 94110",CAPP ST,Mission,"(37.74934667, -122.41719667)",POINT (-122.417196667 37.749346667)
10209,16993639,"148 6TH ST, SAN FRANCISCO, CA, 94103",6TH ST,South of Market,"(37.78019885, -122.40802713)",POINT (-122.408027127 37.780198849)
10210,16996649,"727 VAN NESS AVE, SAN FRANCISCO, CA, 94102",VAN NESS AVE,Cathedral Hill,"(37.78224316, -122.42092568)",POINT (-122.420925676 37.782243158)
10211,16999617,"131 RUSS ST, SAN FRANCISCO, CA, 94103",RUSS ST,South of Market,"(37.77850501, -122.40777433)",POINT (-122.407774329 37.778505006)
10212,16994620,"600 VAN NESS AVE, SAN FRANCISCO, CA, 94102",VAN NESS AVE,Civic Center,"(37.78132716, -122.42036238)",POINT (-122.420362376 37.781327163)
10213,16997698,"10 WOODWARD ST, SAN FRANCISCO, CA, 94103",WOODWARD ST,Mission,"(37.7696873, -122.42106212)",POINT (-122.42106212 37.769687297)
10214,16991133,"100 POTRERO AVE, SAN FRANCISCO, CA, 94103",POTRERO AVE,Mission,"(37.7680737, -122.4080569)",POINT (-122.4080569 37.7680737)
10216,16991412,"135 HOLLADAY AVE, SAN FRANCISCO, CA, 94110",HOLLADAY AVE,Peralta Heights,"(37.7476359, -122.4048598)",POINT (-122.4048598 37.7476359)
10217,16990452,"323 GRAND VIEW AVE, SAN FRANCISCO, CA, 94114",GRAND VIEW AVE,Upper Market,"(37.75296981, -122.4422267)",POINT (-122.442226695 37.752969813)
10220,16984023,"1147 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.77705966, -122.41034904)",POINT (-122.410349042 37.777059665)
10221,16985589,"2600 MARKET ST, SAN FRANCISCO, CA, 94114",MARKET ST,Eureka Valley,"(37.76202099, -122.43718878)",POINT (-122.437188777 37.762020988)
10222,16997405,Intersection of DAVIS ST and WASHINGTON ST,DAVIS ST,Northern Waterfront,"(37.7961927, -122.3981898)",POINT (-122.3981898 37.7961927)
10224,16990583,Intersection of BERWICK PL and HERON ST,BERWICK PL,South of Market,"(37.77478547, -122.40835208)",POINT (-122.408352081 37.774785471)
10225,16993825,"500 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.78010743, -122.40782127)",POINT (-122.407821268 37.780107427)
10226,16997351,"1070 OAK ST, SAN FRANCISCO, CA, 94117",OAK ST,Lower Haight,"(37.77326583, -122.43712205)",POINT (-122.437122054 37.773265826)
10227,16985087,"277 TAYLOR ST, SAN FRANCISCO, CA, 94102",TAYLOR ST,Tenderloin,"(37.78476742, -122.41129505)",POINT (-122.411295047 37.784767416)
10228,16981455,"264 SENECA AVE, SAN FRANCISCO, CA, 94112",SENECA AVE,Cayuga,"(37.72083823, -122.44359792)",POINT (-122.443597916 37.720838229)
10230,16984928,"103 ASHBURY ST, SAN FRANCISCO, CA, 94117",ASHBURY ST,Panhandle,"(37.7744979, -122.44780501)",POINT (-122.447805007 37.774497903)
10231,16993322,"3625 16TH ST, SAN FRANCISCO, CA, 94114",16TH ST,Duboce Triangle,"(37.76411712, -122.43391678)",POINT (-122.433916784 37.764117124)
