,CaseID,Address,Street,Neighborhood,Point,point_geom,Mapped Neighborhood,geometry
16575,17525252,"204 SHIPLEY ST, SAN FRANCISCO, CA, 94107",SHIPLEY ST,South of Market,"(37.77969213, -122.40312436)",POINT (-122.403124357 37.779692128),South of Market,POINT (-122.40312436 37.77969213)
16578,17535878,"503 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.78042942, -122.40821007)",POINT (-122.408210072 37.78042942),South of Market,POINT (-122.40821007 37.78042942)
16598,17555053,"788 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77594899, -122.41404118)",POINT (-122.414041178 37.77594899),South of Market,POINT (-122.41404118 37.77594899)
16622,17568631,"763 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77626416, -122.41365004)",POINT (-122.413650043 37.776264156),South of Market,POINT (-122.41365004 37.77626416)
16635,17546177,Intersection of 4TH ST and PERRY ST,4TH ST,South of Market,"(37.78044216, -122.39908816)",POINT (-122.399088163 37.780442163),South of Market,POINT (-122.39908816 37.78044216)
16661,17563764,Intersection of 4TH ST and STILLMAN ST,4TH ST,South of Market,"(37.7799721, -122.3987023)",POINT (-122.3987023 37.7799721),South of Market,POINT (-122.3987023 37.7799721)
16673,17544191,"564 4TH ST, SAN FRANCISCO, CA, 94107",4TH ST,South of Market,"(37.77862539, -122.39724509)",POINT (-122.39724509 37.778625389),South of Market,POINT (-122.39724509 37.77862539)
16680,17593554,"145 LANGTON ST, SAN FRANCISCO, CA, 94103",LANGTON ST,South of Market,"(37.77574527, -122.40762178)",POINT (-122.407621779 37.775745274),South of Market,POINT (-122.40762178 37.77574527)
16713,17590843,"135 HARRIET ST, SAN FRANCISCO, CA, 94103",HARRIET ST,South of Market,"(37.77782101, -122.40567047)",POINT (-122.405670465 37.777821012),South of Market,POINT (-122.40567047 37.77782101)
16714,17578692,"465 CLEMENTINA ST, SAN FRANCISCO, CA, 94103",CLEMENTINA ST,South of Market,"(37.77949742, -122.4053924)",POINT (-122.405392397 37.779497417),South of Market,POINT (-122.4053924 37.77949742)
16717,17580267,"1035 FOLSOM ST, SAN FRANCISCO, CA, 94103",FOLSOM ST,South of Market,"(37.77797794, -122.40588792)",POINT (-122.40588792 37.777977937),South of Market,POINT (-122.40588792 37.77797794)
16747,17612774,"177 STILLMAN ST, SAN FRANCISCO, CA, 94107",STILLMAN ST,South of Market,"(37.78038452, -122.39810812)",POINT (-122.398108121 37.780384516),South of Market,POINT (-122.39810812 37.78038452)
16754,17618754,Intersection of DECKER ALY and LANGTON ST,DECKER ALY,South of Market,"(37.77607833, -122.40813333)",POINT (-122.408133333 37.776078333),South of Market,POINT (-122.40813333 37.77607833)
16758,17609579,"239 8TH ST, SAN FRANCISCO, CA, 94103",8TH ST,South of Market,"(37.77581628, -122.41091734)",POINT (-122.410917343 37.775816285),South of Market,POINT (-122.41091734 37.77581628)
16778,17619424,"678 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.78089631, -122.40998745)",POINT (-122.409987448 37.780896311),South of Market,POINT (-122.40998745 37.78089631)
16796,17613017,"932 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.78235822, -122.40753052)",POINT (-122.407530518 37.782358216),South of Market,POINT (-122.40753052 37.78235822)
16798,17618752,Intersection of DECKER ALY and LANGTON ST,DECKER ALY,South of Market,"(37.77607833, -122.40813333)",POINT (-122.408133333 37.776078333),South of Market,POINT (-122.40813333 37.77607833)
16823,17636446,"765 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77620877, -122.41351883)",POINT (-122.41351883 37.776208772),South of Market,POINT (-122.41351883 37.77620877)
16826,17631908,"701 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77681346, -122.41300888)",POINT (-122.41300888 37.776813457),South of Market,POINT (-122.41300888 37.77681346)
16839,17630826,"431 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.78218816, -122.40820208)",POINT (-122.40820208 37.782188157),South of Market,POINT (-122.40820208 37.78218816)
16843,17630840,"457 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.78200389, -122.40860052)",POINT (-122.408600518 37.782003889),South of Market,POINT (-122.40860052 37.78200389)
16844,17636652,"757 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77638744, -122.41354994)",POINT (-122.413549937 37.776387435),South of Market,POINT (-122.41354994 37.77638744)
16848,17645730,"1003 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.78079611, -122.40877381)",POINT (-122.408773812 37.780796105),South of Market,POINT (-122.40877381 37.78079611)
16855,17641774,"1091 FOLSOM ST, SAN FRANCISCO, CA, 94103",FOLSOM ST,South of Market,"(37.77694667, -122.407455)",POINT (-122.407455 37.776946667),South of Market,POINT (-122.407455 37.77694667)
16864,17631914,"701 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77680682, -122.41286134)",POINT (-122.412861341 37.776806818),South of Market,POINT (-122.41286134 37.77680682)
16874,17635682,"1024 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.78053247, -122.40932599)",POINT (-122.409325987 37.780532472),South of Market,POINT (-122.40932599 37.78053247)
16880,17636075,Intersection of LANGTON ST and DECKER ALY,LANGTON ST,South of Market,"(37.77612354, -122.4080246)",POINT (-122.408024596 37.776123539),South of Market,POINT (-122.4080246 37.77612354)
16902,17654306,"508 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.78000011, -122.40790877)",POINT (-122.407908775 37.780000105),South of Market,POINT (-122.40790877 37.78000011)
