,CaseID,Address,Street,Neighborhood,Point,point_geom,Mapped Neighborhood,geometry
8830,17096728,"135 HARRIET ST, SAN FRANCISCO, CA, 94103",HARRIET ST,South of Market,"(37.77784812, -122.40574884)",POINT (-122.405748837 37.777848124),South of Market,POINT (-122.40574884 37.77784812)
8848,17083268,"455 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.78137217, -122.40716725)",POINT (-122.407167254 37.78137217),South of Market,POINT (-122.40716725 37.78137217)
8852,17087772,"88 MERLIN ST, SAN FRANCISCO, CA, 94107",MERLIN ST,South of Market,"(37.7776103, -122.401375)",POINT (-122.401375 37.7776103),South of Market,POINT (-122.401375 37.7776103)
8859,17078570,"135 HARRIET ST, SAN FRANCISCO, CA, 94103",HARRIET ST,South of Market,"(37.7777023, -122.40559333)",POINT (-122.405593326 37.777702296),South of Market,POINT (-122.40559333 37.7777023)
8864,17080123,"498 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.78061416, -122.40819847)",POINT (-122.408198472 37.780614158),South of Market,POINT (-122.40819847 37.78061416)
8871,17084881,"69 WASHBURN ST, SAN FRANCISCO, CA, 94103",WASHBURN ST,South of Market,"(37.77512388, -122.41413363)",POINT (-122.414133633 37.775123882),South of Market,POINT (-122.41413363 37.77512388)
8880,17084678,"747 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77651035, -122.41339155)",POINT (-122.413391545 37.776510345),South of Market,POINT (-122.41339155 37.77651035)
8882,17078042,Intersection of PERRY ST and 4TH ST,PERRY ST,South of Market,"(37.78057453, -122.39918664)",POINT (-122.399186643 37.78057453),South of Market,POINT (-122.39918664 37.78057453)
8885,17080475,"135 HARRIET ST, SAN FRANCISCO, CA, 94103",HARRIET ST,South of Market,"(37.77773728, -122.40556727)",POINT (-122.405567274 37.777737277),South of Market,POINT (-122.40556727 37.77773728)
8886,17088202,"1050 HARRISON ST, SAN FRANCISCO, CA, 94103",HARRISON ST,South of Market,"(37.77633189, -122.40513204)",POINT (-122.405132041 37.776331891),South of Market,POINT (-122.40513204 37.77633189)
8895,17081882,"105 RUSS ST, SAN FRANCISCO, CA, 94103",RUSS ST,South of Market,"(37.77880591, -122.4080518)",POINT (-122.408051801 37.778805905),South of Market,POINT (-122.4080518 37.77880591)
8897,17087540,"460 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.7824054, -122.4085436)",POINT (-122.4085436 37.7824054),South of Market,POINT (-122.4085436 37.7824054)
8903,17082295,"1111 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77898915, -122.41109222)",POINT (-122.411092222 37.778989154),South of Market,POINT (-122.41109222 37.77898915)
8904,17085063,"12 SHERMAN ST, SAN FRANCISCO, CA, 94103",SHERMAN ST,South of Market,"(37.77710994, -122.40673595)",POINT (-122.406735954 37.777109941),South of Market,POINT (-122.40673595 37.77710994)
8906,17088824,"185 7TH ST, SAN FRANCISCO, CA, 94103",7TH ST,South of Market,"(37.77820582, -122.40981431)",POINT (-122.409814306 37.778205816),South of Market,POINT (-122.40981431 37.77820582)
8913,17090228,"670 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.78093414, -122.40987639)",POINT (-122.409876387 37.780934137),South of Market,POINT (-122.40987639 37.78093414)
8921,17089152,Intersection of FOLSOM ST and COLUMBIA SQUARE ST,FOLSOM ST,South of Market,"(37.77769189, -122.40634686)",POINT (-122.406346865 37.777691888),South of Market,POINT (-122.40634686 37.77769189)
8922,17096674,"360 4TH ST, SAN FRANCISCO, CA, 94107",4TH ST,South of Market,"(37.78119761, -122.40038639)",POINT (-122.400386386 37.781197607),South of Market,POINT (-122.40038639 37.78119761)
8929,17088190,Intersection of HARRISON ST and COLUMBIA SQUARE ST,HARRISON ST,South of Market,"(37.77647587, -122.40497429)",POINT (-122.404974288 37.776475868),South of Market,POINT (-122.40497429 37.77647587)
8932,17088292,"135 HARRIET ST, SAN FRANCISCO, CA, 94103",HARRIET ST,South of Market,"(37.77774159, -122.40564205)",POINT (-122.405642045 37.777741586),South of Market,POINT (-122.40564205 37.77774159)
8934,17095520,"105 RUSS ST, SAN FRANCISCO, CA, 94103",RUSS ST,South of Market,"(37.77886277, -122.40804201)",POINT (-122.408042014 37.778862774),South of Market,POINT (-122.40804201 37.77886277)
8941,17079470,"757 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77638791, -122.41354477)",POINT (-122.413544767 37.776387913),South of Market,POINT (-122.41354477 37.77638791)
8958,17077617,"12 SHERMAN ST, SAN FRANCISCO, CA, 94103",SHERMAN ST,South of Market,"(37.77716717, -122.406718)",POINT (-122.406717997 37.777167172),South of Market,POINT (-122.406718 37.77716717)
8971,17096339,"1024 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.78055341, -122.40947921)",POINT (-122.409479208 37.780553406),South of Market,POINT (-122.40947921 37.78055341)
8972,17089021,"501 BRANNAN ST, SAN FRANCISCO, CA, 94107",BRANNAN ST,South of Market,"(37.7779348, -122.3966842)",POINT (-122.3966842 37.7779348),South of Market,POINT (-122.3966842 37.7779348)
8973,17089927,Intersection of STILLMAN ST and 4TH ST,STILLMAN ST,South of Market,"(37.7800687, -122.3985561)",POINT (-122.3985561 37.7800687),South of Market,POINT (-122.3985561 37.7800687)
8982,17086197,"249 SHIPLEY ST, SAN FRANCISCO, CA, 94107",SHIPLEY ST,South of Market,"(37.77897456, -122.40383929)",POINT (-122.403839286 37.778974555),South of Market,POINT (-122.40383929 37.77897456)
8984,17088658,"1009 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.78070869, -122.40895987)",POINT (-122.408959866 37.78070869),South of Market,POINT (-122.40895987 37.78070869)
9003,17080459,"71 BLUXOME ST, SAN FRANCISCO, CA, 94107",BLUXOME ST,South of Market,"(37.7763569, -122.3972152)",POINT (-122.3972152 37.7763569),South of Market,POINT (-122.3972152 37.7763569)
9008,17096252,"1111 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77899233, -122.41112072)",POINT (-122.41112072 37.778992334),South of Market,POINT (-122.41112072 37.77899233)
9014,17086186,"33 FALMOUTH ST, SAN FRANCISCO, CA, 94107",FALMOUTH ST,South of Market,"(37.77893039, -122.40408747)",POINT (-122.404087471 37.778930391),South of Market,POINT (-122.40408747 37.77893039)
9017,17091012,"105 RUSS ST, SAN FRANCISCO, CA, 94103",RUSS ST,South of Market,"(37.77879022, -122.4079731)",POINT (-122.407973098 37.77879022),South of Market,POINT (-122.4079731 37.77879022)
9019,17083162,"536 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77951733, -122.40853482)",POINT (-122.40853482 37.779517329),South of Market,POINT (-122.40853482 37.77951733)
9031,17089141,"12 SHERMAN ST, SAN FRANCISCO, CA, 94103",SHERMAN ST,South of Market,"(37.77711032, -122.40662369)",POINT (-122.406623692 37.777110325),South of Market,POINT (-122.40662369 37.77711032)
9032,17093129,Intersection of I-80 WESTBOUND and I-80 W ON RAMP,I-80 WESTBOUND,Showplace Square,"(37.77267019, -122.40666795)",POINT (-122.406667954 37.772670191),South of Market,POINT (-122.40666795 37.77267019)
9038,17087757,"1 RAUSCH ST, SAN FRANCISCO, CA, 94103",RAUSCH ST,South of Market,"(37.77699389, -122.41028131)",POINT (-122.410281309 37.776993889),South of Market,POINT (-122.41028131 37.77699389)
9040,17082567,"15 LANGTON ST, SAN FRANCISCO, CA, 94103",LANGTON ST,South of Market,"(37.77734956, -122.40971677)",POINT (-122.40971677 37.777349558),South of Market,POINT (-122.40971677 37.77734956)
9041,17089905,"725 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77672288, -122.41315853)",POINT (-122.413158529 37.776722879),South of Market,POINT (-122.41315853 37.77672288)
9052,17077630,"759 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77589123, -122.41306413)",POINT (-122.413064134 37.775891227),South of Market,POINT (-122.41306413 37.77589123)
9055,17093517,Intersection of JESSIE ST and 6TH ST,JESSIE ST,South of Market,"(37.7814223, -122.4092254)",POINT (-122.409225404 37.781422303),South of Market,POINT (-122.4092254 37.7814223)
9058,17087447,"335 RITCH ST, SAN FRANCISCO, CA, 94107",RITCH ST,South of Market,"(37.77924346, -122.39424855)",POINT (-122.394248547 37.779243461),South of Market,POINT (-122.39424855 37.77924346)
9075,17089339,"616 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77844485, -122.41091553)",POINT (-122.410915531 37.778444852),South of Market,POINT (-122.41091553 37.77844485)
9079,17083039,"44 LANGTON ST, SAN FRANCISCO, CA, 94103",LANGTON ST,South of Market,"(37.776905, -122.40918)",POINT (-122.40918 37.776905),South of Market,POINT (-122.40918 37.776905)
9081,17091282,"940 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.7807702, -122.40608517)",POINT (-122.406085169 37.780770203),South of Market,POINT (-122.40608517 37.7807702)
9083,17088172,Intersection of COLUMBIA SQUARE ST and FOLSOM ST,COLUMBIA SQUARE ST,South of Market,"(37.7776731, -122.40630446)",POINT (-122.406304462 37.777673096),South of Market,POINT (-122.40630446 37.7776731)
9089,17089820,Intersection of HARRISON ST and COLUMBIA SQUARE ST,HARRISON ST,South of Market,"(37.77654068, -122.40486252)",POINT (-122.404862522 37.776540683),South of Market,POINT (-122.40486252 37.77654068)
9090,17086913,Intersection of BRYANT ST and I-80 E ON RAMP,BRYANT ST,Showplace Square,"(37.7728133, -122.40658414)",POINT (-122.406584135 37.7728133),South of Market,POINT (-122.40658414 37.7728133)
9094,17092387,"21 COLUMBIA SQUARE ST, SAN FRANCISCO, CA, 94103",COLUMBIA SQUARE ST,South of Market,"(37.77769741, -122.40623446)",POINT (-122.406234457 37.777697408),South of Market,POINT (-122.40623446 37.77769741)
9096,17081525,"773 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77615047, -122.41357595)",POINT (-122.413575947 37.776150469),South of Market,POINT (-122.41357595 37.77615047)
9099,17083403,"495 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.78075906, -122.40781276)",POINT (-122.407812765 37.780759058),South of Market,POINT (-122.40781276 37.78075906)
9106,17078192,"635 STEVENSON ST, SAN FRANCISCO, CA, 94103",STEVENSON ST,South of Market,"(37.77960712, -122.41218086)",POINT (-122.412180863 37.779607121),South of Market,POINT (-122.41218086 37.77960712)
9114,17077039,Intersection of FOLSOM ST and COLUMBIA SQUARE ST,FOLSOM ST,South of Market,"(37.77768405, -122.40634186)",POINT (-122.406341862 37.777684047),South of Market,POINT (-122.40634186 37.77768405)
9123,17083848,"479 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.78044079, -122.40717586)",POINT (-122.407175861 37.780440785),South of Market,POINT (-122.40717586 37.78044079)
9135,17083009,Intersection of BRYANT ST and I-80 E ON RAMP,BRYANT ST,Showplace Square,"(37.77281224, -122.40658883)",POINT (-122.406588829 37.77281224),South of Market,POINT (-122.40658883 37.77281224)
9136,17078299,"1050 HARRISON ST, SAN FRANCISCO, CA, 94103",HARRISON ST,South of Market,"(37.77646326, -122.40530973)",POINT (-122.405309734 37.776463258),South of Market,POINT (-122.40530973 37.77646326)
9141,17087653,"1220 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.77597984, -122.41207628)",POINT (-122.412076279 37.775979839),South of Market,POINT (-122.41207628 37.77597984)
9142,17089774,Intersection of FOLSOM ST and COLUMBIA SQUARE ST,FOLSOM ST,South of Market,"(37.777695, -122.406325)",POINT (-122.406325 37.777695),South of Market,POINT (-122.406325 37.777695)
9146,17088646,"1009 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.78070869, -122.40895987)",POINT (-122.408959866 37.78070869),South of Market,POINT (-122.40895987 37.78070869)
9147,17096643,"12 SHERMAN ST, SAN FRANCISCO, CA, 94103",SHERMAN ST,South of Market,"(37.77713157, -122.40661303)",POINT (-122.406613032 37.777131572),South of Market,POINT (-122.40661303 37.77713157)
9148,17081711,"940 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.78076175, -122.40609373)",POINT (-122.406093725 37.78076175),South of Market,POINT (-122.40609373 37.78076175)
9149,17081514,Intersection of STILLMAN ST and 4TH ST,STILLMAN ST,South of Market,"(37.7800687, -122.3985561)",POINT (-122.3985561 37.7800687),South of Market,POINT (-122.3985561 37.7800687)
9157,17092457,"12 SHERMAN ST, SAN FRANCISCO, CA, 94103",SHERMAN ST,South of Market,"(37.77717889, -122.40668399)",POINT (-122.406683987 37.777178894),South of Market,POINT (-122.40668399 37.77717889)
9158,17078600,"627 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.7782412, -122.41107447)",POINT (-122.411074468 37.778241199),South of Market,POINT (-122.41107447 37.7782412)
9161,17094900,"12 SHERMAN ST, SAN FRANCISCO, CA, 94103",SHERMAN ST,South of Market,"(37.77712131, -122.40660282)",POINT (-122.406602817 37.777121307),South of Market,POINT (-122.40660282 37.77712131)
9167,17077603,"139 HARRIET ST, SAN FRANCISCO, CA, 94103",HARRIET ST,South of Market,"(37.77766528, -122.40550384)",POINT (-122.405503843 37.777665278),South of Market,POINT (-122.40550384 37.77766528)
9171,17076805,"184 6TH ST, SAN FRANCISCO, CA, 94103",6TH ST,South of Market,"(37.77976082, -122.40754265)",POINT (-122.407542653 37.779760817),South of Market,POINT (-122.40754265 37.77976082)
9172,17096027,"1200 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77747363, -122.41326347)",POINT (-122.41326347 37.77747363),South of Market,POINT (-122.41326347 37.77747363)
9173,17096735,"165 8TH ST, SAN FRANCISCO, CA, 94103",8TH ST,South of Market,"(37.7770537, -122.4119065)",POINT (-122.4119065 37.7770537),South of Market,POINT (-122.4119065 37.7770537)
9176,17080788,"450 4TH ST, SAN FRANCISCO, CA, 94107",4TH ST,South of Market,"(37.78024896, -122.39886148)",POINT (-122.398861477 37.780248961),South of Market,POINT (-122.39886148 37.78024896)
9183,17096692,"12 SHERMAN ST, SAN FRANCISCO, CA, 94103",SHERMAN ST,South of Market,"(37.77715871, -122.40665373)",POINT (-122.406653731 37.777158713),South of Market,POINT (-122.40665373 37.77715871)
9186,17089762,"60 WASHBURN ST, SAN FRANCISCO, CA, 94103",WASHBURN ST,South of Market,"(37.77517674, -122.41418838)",POINT (-122.414188383 37.775176743),South of Market,POINT (-122.41418838 37.77517674)
9189,17083306,"12 SHERMAN ST, SAN FRANCISCO, CA, 94103",SHERMAN ST,South of Market,"(37.7770672, -122.40666932)",POINT (-122.406669321 37.777067197),South of Market,POINT (-122.40666932 37.7770672)
9200,17108113,Intersection of FOLSOM ST and 4TH ST,FOLSOM ST,South of Market,"(37.78198195, -122.40128774)",POINT (-122.401287742 37.781981953),South of Market,POINT (-122.40128774 37.78198195)
9210,17109185,"475 4TH ST, SAN FRANCISCO, CA, 94107",4TH ST,South of Market,"(37.77975684, -122.39846438)",POINT (-122.398464382 37.779756842),South of Market,POINT (-122.39846438 37.77975684)
9212,17102984,Intersection of BRYANT ST and I-80 E ON RAMP,BRYANT ST,Showplace Square,"(37.77283318, -122.40658246)",POINT (-122.406582459 37.772833177),South of Market,POINT (-122.40658246 37.77283318)
9216,17097000,"415 TEHAMA ST, SAN FRANCISCO, CA, 94103",TEHAMA ST,South of Market,"(37.7806011, -122.4047375)",POINT (-122.4047375 37.7806011),South of Market,POINT (-122.4047375 37.7806011)
9247,17099667,"135 STILLMAN ST, SAN FRANCISCO, CA, 94107",STILLMAN ST,South of Market,"(37.781081, -122.397287)",POINT (-122.397287 37.781081),South of Market,POINT (-122.397287 37.781081)
9248,17114931,"934 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,Showplace Square,"(37.7711778, -122.4066262)",POINT (-122.4066262 37.7711778),South of Market,POINT (-122.4066262 37.7711778)
9251,17100041,"951 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,Showplace Square,"(37.77060035, -122.40616621)",POINT (-122.406166213 37.770600354),South of Market,POINT (-122.40616621 37.77060035)
9252,17097210,"299 5TH ST, SAN FRANCISCO, CA, 94103",5TH ST,South of Market,"(37.78044416, -122.40346604)",POINT (-122.403466043 37.78044416),South of Market,POINT (-122.40346604 37.78044416)
9256,17103280,"43 LANGTON ST, SAN FRANCISCO, CA, 94103",LANGTON ST,South of Market,"(37.77697102, -122.4091838)",POINT (-122.409183799 37.77697102),South of Market,POINT (-122.4091838 37.77697102)
9260,17101762,"12 SHERMAN ST, SAN FRANCISCO, CA, 94103",SHERMAN ST,South of Market,"(37.77710798, -122.40658203)",POINT (-122.406582031 37.777107982),South of Market,POINT (-122.40658203 37.77710798)
9262,17113854,"1231 MISSION ST, SAN FRANCISCO, CA, 94103 (Virtual)",MISSION ST,South of Market,"(37.7769745, -122.413377)",POINT (-122.413377 37.7769745),South of Market,POINT (-122.413377 37.7769745)
9263,17110483,"550 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.78099667, -122.41015)",POINT (-122.41015 37.780996667),South of Market,POINT (-122.41015 37.78099667)
9264,17108378,"450 4TH ST, SAN FRANCISCO, CA, 94107",4TH ST,South of Market,"(37.780199, -122.3986874)",POINT (-122.3986874 37.780199),South of Market,POINT (-122.3986874 37.780199)
9265,17098295,Intersection of MINNA ST and 7TH ST,MINNA ST,South of Market,"(37.77867805, -122.41046861)",POINT (-122.410468608 37.778678049),South of Market,POINT (-122.41046861 37.77867805)
9267,17111341,"450 4TH ST, SAN FRANCISCO, CA, 94107",4TH ST,South of Market,"(37.78005651, -122.39887773)",POINT (-122.398877733 37.780056514),South of Market,POINT (-122.39887773 37.78005651)
9271,17105417,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77882327, -122.40952883)",POINT (-122.409528829 37.778823267),South of Market,POINT (-122.40952883 37.77882327)
9274,17109922,"101 8TH ST, SAN FRANCISCO, CA, 94103",8TH ST,South of Market,"(37.77753778, -122.41293411)",POINT (-122.41293411 37.77753778),South of Market,POINT (-122.41293411 37.77753778)
9275,17109577,"1050 HARRISON ST, SAN FRANCISCO, CA, 94103",HARRISON ST,South of Market,"(37.77635138, -122.40510491)",POINT (-122.405104907 37.776351385),South of Market,POINT (-122.40510491 37.77635138)
9283,17106235,"1111 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77899101, -122.41113011)",POINT (-122.411130108 37.778991009),South of Market,POINT (-122.41113011 37.77899101)
9286,17105201,"286 4TH ST, SAN FRANCISCO, CA, 94103",4TH ST,South of Market,"(37.7819959, -122.4016405)",POINT (-122.4016405 37.7819959),South of Market,POINT (-122.4016405 37.7819959)
9292,17108684,"1199 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77743149, -122.41303649)",POINT (-122.413036488 37.777431495),South of Market,POINT (-122.41303649 37.77743149)
9294,17109088,"1025 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.77920708, -122.40772518)",POINT (-122.407725176 37.779207079),South of Market,POINT (-122.40772518 37.77920708)
9295,17105798,"1009 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.78060057, -122.40895752)",POINT (-122.408957519 37.780600574),South of Market,POINT (-122.40895752 37.78060057)
9313,17115197,"616 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77843467, -122.41096168)",POINT (-122.410961678 37.778434669),South of Market,POINT (-122.41096168 37.77843467)
9317,17100624,"12 SHERMAN ST, SAN FRANCISCO, CA, 94103",SHERMAN ST,South of Market,"(37.77709183, -122.40659351)",POINT (-122.406593507 37.777091833),South of Market,POINT (-122.40659351 37.77709183)
9321,17105689,"1035 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.77900475, -122.40792059)",POINT (-122.407920593 37.779004747),South of Market,POINT (-122.40792059 37.77900475)
9322,17109893,"135 HARRIET ST, SAN FRANCISCO, CA, 94103",HARRIET ST,South of Market,"(37.77786385, -122.40576182)",POINT (-122.405761823 37.777863848),South of Market,POINT (-122.40576182 37.77786385)
9330,17101439,"185 7TH ST, SAN FRANCISCO, CA, 94103",7TH ST,South of Market,"(37.77813829, -122.4097637)",POINT (-122.409763698 37.778138294),South of Market,POINT (-122.4097637 37.77813829)
9334,17102598,"973 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77413251, -122.41630212)",POINT (-122.416302116 37.774132513),South of Market,POINT (-122.41630212 37.77413251)
9340,17107927,Intersection of MINT ST and JESSIE ST,MINT ST,South of Market,"(37.78258929, -122.4077056)",POINT (-122.407705598 37.782589295),South of Market,POINT (-122.4077056 37.78258929)
9341,17110787,"45 HARRIET ST, SAN FRANCISCO, CA, 94103",HARRIET ST,South of Market,"(37.77875516, -122.40687579)",POINT (-122.406875789 37.778755163),South of Market,POINT (-122.40687579 37.77875516)
9348,17100215,Intersection of DECKER ALY and LANGTON ST,DECKER ALY,South of Market,"(37.7761652, -122.40808025)",POINT (-122.40808025 37.776165198),South of Market,POINT (-122.40808025 37.7761652)
9349,17099112,"741 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77613369, -122.41275058)",POINT (-122.412750581 37.776133695),South of Market,POINT (-122.41275058 37.77613369)
9361,17111378,"498 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.78059156, -122.40818605)",POINT (-122.408186048 37.780591565),South of Market,POINT (-122.40818605 37.78059156)
9364,17109856,Intersection of STILLMAN ST and 4TH ST,STILLMAN ST,South of Market,"(37.7800687, -122.3985561)",POINT (-122.3985561 37.7800687),South of Market,POINT (-122.3985561 37.7800687)
9382,17099694,"15 LANGTON ST, SAN FRANCISCO, CA, 94103",LANGTON ST,South of Market,"(37.77730312, -122.40963749)",POINT (-122.409637495 37.77730312),South of Market,POINT (-122.40963749 37.77730312)
9383,17100871,Intersection of DIVISION ST and SAN BRUNO AVE,DIVISION ST,Showplace Square,"(37.76974591, -122.40587653)",POINT (-122.405876535 37.769745907),South of Market,POINT (-122.40587653 37.76974591)
9393,17103618,"1006 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.7796843, -122.407632)",POINT (-122.407632 37.7796843),South of Market,POINT (-122.407632 37.7796843)
9395,17101781,"21 COLUMBIA SQUARE ST, SAN FRANCISCO, CA, 94103",COLUMBIA SQUARE ST,South of Market,"(37.7776613, -122.40629581)",POINT (-122.406295813 37.777661297),South of Market,POINT (-122.40629581 37.7776613)
9397,17103029,"400 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.7818801, -122.4057694)",POINT (-122.4057694 37.7818801),South of Market,POINT (-122.4057694 37.7818801)
9405,17100627,"12 SHERMAN ST, SAN FRANCISCO, CA, 94103",SHERMAN ST,South of Market,"(37.77709091, -122.40659932)",POINT (-122.406599321 37.777090914),South of Market,POINT (-122.40659932 37.77709091)
9409,17098729,"43 LANGTON ST, SAN FRANCISCO, CA, 94103",LANGTON ST,South of Market,"(37.77701316, -122.40919595)",POINT (-122.409195947 37.777013159),South of Market,POINT (-122.40919595 37.77701316)
9412,17112773,"1078 HARRISON ST, SAN FRANCISCO, CA, 94103",HARRISON ST,South of Market,"(37.77587314, -122.40572598)",POINT (-122.405725982 37.775873138),South of Market,POINT (-122.40572598 37.77587314)
9415,17114193,"743 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.7765758, -122.41341267)",POINT (-122.413412668 37.776575802),South of Market,POINT (-122.41341267 37.7765758)
9421,17100635,Intersection of SHERMAN ST and CLEVELAND ST,SHERMAN ST,South of Market,"(37.77705056, -122.40652236)",POINT (-122.406522356 37.777050564),South of Market,POINT (-122.40652236 37.77705056)
9435,17107759,"811 FOLSOM ST, SAN FRANCISCO, CA, 94107",FOLSOM ST,South of Market,"(37.78180207, -122.40154848)",POINT (-122.40154848 37.781802073),South of Market,POINT (-122.40154848 37.78180207)
9438,17109679,"701 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.7767297, -122.4127364)",POINT (-122.4127364 37.7767297),South of Market,POINT (-122.4127364 37.7767297)
9442,17105787,"1024 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.78061117, -122.40937024)",POINT (-122.409370244 37.780611174),South of Market,POINT (-122.40937024 37.78061117)
9443,17115658,"1111 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77906415, -122.41107244)",POINT (-122.41107244 37.779064148),South of Market,POINT (-122.41107244 37.77906415)
9449,17107971,"286 4TH ST, SAN FRANCISCO, CA, 94103",4TH ST,South of Market,"(37.7819959, -122.4016405)",POINT (-122.4016405 37.7819959),South of Market,POINT (-122.4016405 37.7819959)
9459,17097554,"12 SHERMAN ST, SAN FRANCISCO, CA, 94103",SHERMAN ST,South of Market,"(37.77715572, -122.40665886)",POINT (-122.406658861 37.77715572),South of Market,POINT (-122.40665886 37.77715572)
9461,17107514,Intersection of WELSH ST and 4TH ST,WELSH ST,South of Market,"(37.7791122, -122.39762384)",POINT (-122.397623843 37.779112203),South of Market,POINT (-122.39762384 37.7791122)
9482,17101728,Intersection of HARRISON ST and COLUMBIA SQUARE ST,HARRISON ST,South of Market,"(37.77647899, -122.40496604)",POINT (-122.404966037 37.776478986),South of Market,POINT (-122.40496604 37.77647899)
9493,17107869,"293 4TH ST, SAN FRANCISCO, CA, 94103",4TH ST,South of Market,"(37.7823861, -122.401258)",POINT (-122.401258 37.7823861),South of Market,POINT (-122.401258 37.7823861)
9497,17115194,"611 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77864974, -122.41067486)",POINT (-122.410674858 37.778649737),South of Market,POINT (-122.41067486 37.77864974)
9512,17098421,"43 LANGTON ST, SAN FRANCISCO, CA, 94103",LANGTON ST,South of Market,"(37.77701113, -122.40924024)",POINT (-122.409240235 37.777011129),South of Market,POINT (-122.40924024 37.77701113)
9523,17100601,Intersection of FOLSOM ST and COLUMBIA SQUARE ST,FOLSOM ST,South of Market,"(37.77768862, -122.40632089)",POINT (-122.406320887 37.777688616),South of Market,POINT (-122.40632089 37.77768862)
9529,17113679,"21 COLUMBIA SQUARE ST, SAN FRANCISCO, CA, 94103",COLUMBIA SQUARE ST,South of Market,"(37.7778221, -122.4061332)",POINT (-122.4061332 37.7778221),South of Market,POINT (-122.4061332 37.7778221)
9533,17100879,"234 7TH ST, SAN FRANCISCO, CA, 94103",7TH ST,South of Market,"(37.77745541, -122.40895168)",POINT (-122.408951676 37.777455413),South of Market,POINT (-122.40895168 37.77745541)
9540,17109740,"450 4TH ST, SAN FRANCISCO, CA, 94107",4TH ST,South of Market,"(37.78030848, -122.39862331)",POINT (-122.398623315 37.780308485),South of Market,POINT (-122.39862331 37.78030848)
9542,17110534,"501 BRANNAN ST, SAN FRANCISCO, CA, 94107",BRANNAN ST,South of Market,"(37.7778653, -122.39666898)",POINT (-122.396668978 37.7778653),South of Market,POINT (-122.39666898 37.7778653)
9545,17105225,"450 4TH ST, SAN FRANCISCO, CA, 94107",4TH ST,South of Market,"(37.78018288, -122.3987357)",POINT (-122.398735701 37.780182881),South of Market,POINT (-122.3987357 37.78018288)
